Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/30/2016 	_x86_64_	(8 CPU)

08:01:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:01:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:07 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
08:01:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:15 PM     all      1.39      0.00      0.51      0.00      0.00     98.11
08:01:16 PM     all     10.69      0.00      2.14      0.00      0.00     87.17
08:01:17 PM     all     11.08      0.00      1.51      0.13      0.00     87.28
08:01:18 PM     all     10.89      0.00      2.00      0.13      0.13     86.86
08:01:19 PM     all     10.57      0.00      2.14      0.25      0.00     87.04
08:01:20 PM     all     11.32      0.00      1.38      0.25      0.00     87.04
08:01:21 PM     all     10.54      0.00      2.26      0.13      0.00     87.08
08:01:22 PM     all     11.31      0.00      1.51      0.13      0.00     87.06
08:01:23 PM     all     10.66      0.00      2.26      0.25      0.13     86.70
08:01:24 PM     all     11.07      0.00      1.76      0.38      0.00     86.79
08:01:25 PM     all     10.47      0.00      2.14      0.25      0.00     87.14
08:01:26 PM     all     10.23      0.00      2.27      0.38      0.13     86.99
08:01:27 PM     all     10.44      0.00      2.26      0.38      0.00     86.92
08:01:28 PM     all     10.87      0.00      1.77      0.38      0.13     86.85
08:01:29 PM     all      9.10      0.00      2.28      5.56      0.00     83.06
08:01:30 PM     all      1.13      0.00      0.25     12.08      0.13     86.42
08:01:31 PM     all      0.00      0.00      0.00     12.67      0.13     87.20
08:01:32 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:01:33 PM     all      2.02      0.00      0.88     12.47      0.13     84.51
08:01:34 PM     all      0.00      0.00      0.00     12.30      0.00     87.70
08:01:35 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:01:36 PM     all      0.00      0.00      0.00     12.30      0.00     87.70
08:01:37 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:01:38 PM     all      0.00      0.00      0.00     12.27      0.13     87.61
08:01:39 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:01:40 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:01:41 PM     all      1.13      0.00      0.25     12.80      0.00     85.82
08:01:42 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:01:43 PM     all      0.00      0.00      0.00     12.30      0.00     87.70
08:01:44 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:01:45 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:01:46 PM     all      0.00      0.00      0.00     12.28      0.13     87.59
08:01:47 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:01:48 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:01:49 PM     all      0.00      0.00      0.00     12.30      0.00     87.70
08:01:50 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:01:51 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
08:01:52 PM     all      1.26      0.00      0.13     21.98      0.13     76.51
08:01:53 PM     all      0.00      0.00      0.00     20.98      0.00     79.02
08:01:54 PM     all      0.00      0.00      0.13     12.16      0.13     87.59
08:01:55 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:01:56 PM     all      0.13      0.00      0.00     12.27      0.13     87.48
08:01:57 PM     all      0.00      0.00      0.13     12.16      0.00     87.72
08:01:58 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:01:59 PM     all      2.51      0.00      0.38     13.55      0.13     83.44
08:02:00 PM     all      6.59      0.00      1.39     12.80      0.13     79.09
08:02:01 PM     all      6.43      0.00      1.39      8.83      0.00     83.35
08:02:02 PM     all     11.20      0.00      1.40      0.38      0.13     86.90
08:02:03 PM     all     10.76      0.00      2.15      0.51      0.00     86.58
08:02:04 PM     all     10.61      0.00      2.40      0.63      0.13     86.24
08:02:05 PM     all     11.18      0.00      1.52      0.38      0.00     86.91
08:02:06 PM     all     10.39      0.00      2.53      1.39      0.13     85.55
08:02:07 PM     all     11.00      0.00      1.90      0.63      0.13     86.35
08:02:08 PM     all     11.24      0.00      1.89      0.51      0.13     86.24
08:02:09 PM     all     11.52      0.00      1.39      0.63      0.00     86.46
08:02:10 PM     all     10.65      0.00      2.15      0.38      0.13     86.69
08:02:11 PM     all     10.62      0.00      2.28      0.63      0.00     86.47
08:02:12 PM     all     10.53      0.00      2.41      0.51      0.00     86.55
08:02:13 PM     all     11.06      0.00      1.88      0.38      0.13     86.56
08:02:14 PM     all     11.07      0.00      1.89      0.50      0.13     86.42
08:02:15 PM     all     10.96      0.00      1.89      0.50      0.00     86.65
08:02:16 PM     all     10.71      0.00      2.14      0.50      0.00     86.65
08:02:17 PM     all     10.69      0.00      2.14      0.50      0.13     86.54
08:02:18 PM     all     11.21      0.00      1.76      0.50      0.00     86.52
08:02:19 PM     all     10.54      0.00      2.38      0.50      0.00     86.57
08:02:20 PM     all     10.98      0.00      1.64      0.63      0.13     86.62
08:02:21 PM     all     10.55      0.00      2.51      0.63      0.00     86.31
08:02:22 PM     all     11.31      0.00      1.88      0.38      0.00     86.43
08:02:23 PM     all     10.71      0.00      2.14      0.38      0.00     86.78
08:02:24 PM     all     10.43      0.00      2.51      0.50      0.13     86.43
08:02:25 PM     all     10.82      0.00      2.01      0.63      0.00     86.54
08:02:26 PM     all     10.84      0.00      2.02      0.38      0.00     86.76
08:02:27 PM     all     10.44      0.00      2.26      0.50      0.13     86.67
08:02:28 PM     all     10.80      0.00      2.26      0.50      0.00     86.43
08:02:29 PM     all      6.93      0.00      1.64      5.92      0.00     85.52
08:02:30 PM     all      1.89      0.00      1.01     11.74      0.13     85.23
08:02:31 PM     all      0.00      0.00      0.00     12.27      0.13     87.61
08:02:32 PM     all      1.13      0.00      0.25     13.84      0.00     84.78
08:02:33 PM     all      0.00      0.00      0.00     12.27      0.13     87.61
08:02:34 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
08:02:35 PM     all      1.13      0.00      0.38     16.44      0.13     81.93
08:02:36 PM     all      0.00      0.00      0.00     12.28      0.00     87.72
08:02:37 PM     all      0.00      0.00      0.00     12.05      0.13     87.83
08:02:38 PM     all      0.00      0.00      0.00     12.30      0.00     87.70
08:02:39 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:02:40 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:02:41 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
08:02:42 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:02:43 PM     all      0.13      0.00      0.00     12.27      0.13     87.48
08:02:44 PM     all      0.00      0.00      0.13     12.05      0.00     87.83
08:02:45 PM     all      1.13      0.00      0.25     13.57      0.00     85.05
08:02:46 PM     all      0.00      0.00      0.00     12.28      0.13     87.59
08:02:47 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:02:48 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
08:02:49 PM     all      0.00      0.00      0.13     12.14      0.13     87.61
08:02:50 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:02:51 PM     all      0.00      0.00      0.13     12.16      0.00     87.72
08:02:52 PM     all      0.13      0.00      0.00     12.16      0.13     87.59
08:02:53 PM     all      0.00      0.00      0.00     12.27      0.13     87.61
08:02:54 PM     all      0.00      0.00      0.00     12.08      0.00     87.92
08:02:55 PM     all      0.00      0.00      0.12     12.25      0.12     87.50
08:02:56 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
08:02:57 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
08:02:58 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
08:02:59 PM     all      1.13      0.00      0.38     14.16      0.13     84.21
08:03:00 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
