Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/31/2016 	_x86_64_	(8 CPU)

12:12:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:12:57 AM     all      0.00      0.00      0.38      6.65      0.00     92.97
12:12:58 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
12:12:59 AM     all      0.00      0.00      0.13     12.05      0.13     87.70
12:13:00 AM     all      0.00      0.00      0.00      5.51      0.00     94.49
12:13:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:13:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:13:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:13:04 AM     all      7.29      0.00      3.71      0.51      0.00     88.49
12:13:05 AM     all     10.77      0.00      1.79      0.13      0.13     87.18
12:13:06 AM     all     11.17      0.00      1.65      0.51      0.13     86.55
12:13:07 AM     all     10.77      0.00      2.03      0.25      0.13     86.82
12:13:08 AM     all     11.14      0.00      1.65      0.38      0.00     86.84
12:13:09 AM     all     11.22      0.00      1.77      0.38      0.13     86.51
12:13:10 AM     all     10.19      0.00      4.08      5.99      0.00     79.75
12:13:11 AM     all      5.19      0.00      2.03     16.33      0.13     76.33
12:13:12 AM     all      3.16      0.00      1.14     13.42      0.00     82.28
12:13:13 AM     all      0.00      0.00      0.00     12.28      0.13     87.59
12:13:14 AM     all      1.25      0.00      0.25     13.05      0.13     85.32
12:13:15 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
12:13:16 AM     all      0.00      0.00      0.00     12.17      0.13     87.70
12:13:17 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
12:13:18 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
12:13:19 AM     all      1.13      0.00      0.25     13.08      0.00     85.53
12:13:20 AM     all      0.00      0.00      0.00     12.19      0.13     87.69
12:13:21 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
12:13:22 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
12:13:23 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:13:24 AM     all      0.00      0.00      0.00     12.28      0.13     87.59
12:13:25 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:13:26 AM     all      2.39      0.00      1.39     14.36      0.13     81.74
12:13:27 AM     all      6.27      0.00      5.12     11.00      0.26     77.37
12:13:28 AM     all     10.36      0.00      2.30      0.38      0.13     86.83
12:13:29 AM     all     10.65      0.00      2.05      0.51      0.13     86.65
12:13:30 AM     all     10.67      0.00      2.44      0.51      0.00     86.38
12:13:31 AM     all     10.54      0.00      2.31      0.51      0.13     86.50
12:13:32 AM     all     10.59      0.00      2.33      1.16      0.13     85.79
12:13:33 AM     all     10.66      0.00      2.41      0.76      0.13     86.04
12:13:34 AM     all     10.23      0.00      2.56      0.51      0.13     86.57
12:13:35 AM     all     10.40      0.00      2.05      0.77      0.13     86.65
12:13:36 AM     all     10.34      0.00      2.55      0.51      0.13     86.46
12:13:37 AM     all      9.34      0.00      1.79      2.69      0.13     86.06
12:13:38 AM     all      3.55      0.00      0.38     12.06      0.13     83.88
12:13:39 AM     all      3.40      0.00      0.63     12.99      0.13     82.85
12:13:40 AM     all      2.52      0.00      0.25     12.09      0.00     85.14
12:13:41 AM     all      1.00      0.00      0.25     12.30      0.13     86.32
12:13:42 AM     all      1.13      0.00      0.25     12.19      0.00     86.43
12:13:43 AM     all      3.03      0.00      0.88     13.75      0.13     82.22
12:13:44 AM     all      1.26      0.00      0.25     12.56      0.13     85.80
12:13:45 AM     all      0.76      0.00      0.38     12.47      0.00     86.40
12:13:46 AM     all      2.39      0.00      0.38     12.96      0.13     84.15
12:13:47 AM     all      2.27      0.00      0.25     12.23      0.13     85.12
12:13:48 AM     all      1.13      0.00      0.25     12.19      0.13     86.31
12:13:49 AM     all      8.27      0.00      2.16      2.54      0.00     87.02
12:13:50 AM     all     10.59      0.00      1.91      0.26      0.13     87.12
12:13:51 AM     all     11.14      0.00      1.52      0.51      0.00     86.84
12:13:52 AM     all     10.39      0.00      2.15      0.38      0.13     86.95
12:13:53 AM     all     10.93      0.00      1.65      0.38      0.00     87.04
12:13:54 AM     all     10.80      0.00      2.39      0.63      0.13     86.06
12:13:55 AM     all     10.66      0.00      1.90      0.25      0.00     87.18
12:13:56 AM     all     10.75      0.00      2.02      0.38      0.13     86.73
12:13:57 AM     all     11.25      0.00      1.39      0.13      0.00     87.23
12:13:58 AM     all     10.62      0.00      2.02      0.13      0.00     87.23
12:13:59 AM     all      6.34      0.00      1.14     10.14      0.25     82.13
12:14:00 AM     all      1.26      0.00      0.00     12.56      0.00     86.18
12:14:01 AM     all      1.88      0.00      1.01     12.06      0.13     84.92
12:14:02 AM     all      2.26      0.00      0.25     13.33      0.00     84.15
12:14:03 AM     all      1.26      0.00      0.13     12.58      0.00     86.04
12:14:04 AM     all      2.14      0.00      0.63     12.08      0.13     85.03
12:14:05 AM     all      0.88      0.00      0.50     12.30      0.00     86.32
12:14:06 AM     all      2.26      0.00      0.50     12.96      0.13     84.15
12:14:07 AM     all      0.38      0.00      0.38     12.28      0.00     86.97
12:14:08 AM     all      3.03      0.00      0.38     12.12      0.13     84.34
12:14:09 AM     all      2.14      0.00      0.50     12.48      0.00     84.87
12:14:10 AM     all      1.13      0.00      0.13     12.28      0.13     86.34
12:14:11 AM     all      2.39      0.00      0.63     13.21      0.13     83.65
12:14:12 AM     all      1.01      0.00      0.25     13.33      0.00     85.41
12:14:13 AM     all      0.88      0.00      0.25     13.21      0.13     85.53
12:14:14 AM     all      0.00      0.00      0.00     14.93      0.00     85.07
12:14:15 AM     all      0.00      0.00      0.13     14.52      0.13     85.23
12:14:16 AM     all      0.13      0.00      0.00     17.54      0.13     82.21
12:14:17 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
12:14:18 AM     all      2.14      0.00      0.50     17.63      0.13     79.60
12:14:19 AM     all      0.00      0.00      0.13     13.30      0.00     86.57
12:14:20 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
12:14:21 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:14:22 AM     all      0.13      0.00      0.00     12.27      0.00     87.61
12:14:23 AM     all      0.00      0.00      0.13     12.14      0.13     87.61
12:14:24 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
12:14:25 AM     all      0.00      0.00      0.00     12.27      0.13     87.61
12:14:26 AM     all      1.13      0.00      0.38     14.59      0.00     83.90
12:14:27 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
12:14:28 AM     all      0.00      0.00      0.00     12.17      0.13     87.70
12:14:29 AM     all      0.13      0.00      0.00     12.17      0.00     87.70
12:14:30 AM     all      0.00      0.00      0.00     12.14      0.13     87.73
12:14:31 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:14:32 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
12:14:33 AM     all      1.13      0.00      0.25     14.70      0.13     83.79
12:14:34 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
12:14:35 AM     all      3.27      0.00      0.75     13.58      0.13     82.26
12:14:36 AM     all      4.80      0.00      1.26      9.09      0.00     84.85
12:14:37 AM     all     10.62      0.00      2.15      0.25      0.13     86.85
12:14:38 AM     all     10.46      0.00      1.66      0.51      0.00     87.37
12:14:39 AM     all     11.34      0.00      1.76      0.50      0.13     86.27
