Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/31/2016 	_x86_64_	(8 CPU)

12:58:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:58:15 AM     all      0.00      0.00      0.00     15.18      0.00     84.82
12:58:16 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:58:17 AM     all      0.00      0.00      0.00     12.27      0.13     87.61
12:58:18 AM     all      0.00      0.00      0.00     12.17      0.13     87.70
12:58:19 AM     all      0.00      0.00      0.13     14.93      0.00     84.94
12:58:20 AM     all      0.00      0.00      0.00     21.18      0.00     78.82
12:58:21 AM     all      0.00      0.00      0.13     12.17      0.00     87.70
12:58:22 AM     all      0.00      0.00      0.00     12.14      0.25     87.61
12:58:23 AM     all      2.81      0.00      0.89     12.37      0.00     83.93
12:58:24 AM     all      4.96      0.00      1.65     12.20      0.13     81.07
12:58:25 AM     all      5.09      0.00      1.02     12.34      0.13     81.42
12:58:26 AM     all      4.70      0.00      1.27     13.07      0.25     80.71
12:58:27 AM     all      0.00      0.00      0.00     12.69      0.00     87.31
12:58:28 AM     all      0.00      0.00      0.25     12.30      0.00     87.45
12:58:29 AM     all      5.21      0.00      1.78      0.25      0.13     92.63
12:58:30 AM     all      4.95      0.00      1.52      0.25      0.13     93.15
12:58:31 AM     all      5.58      0.00      1.27      0.13      0.00     93.02
12:58:32 AM     all      5.23      0.00      1.15      0.13      0.13     93.37
12:58:33 AM     all      4.70      0.00      1.78      0.51      0.13     92.89
12:58:34 AM     all      5.46      0.00      1.27      0.13      0.13     93.01
12:58:35 AM     all      5.46      0.00      1.40      0.13      0.00     93.01
12:58:36 AM     all      5.12      0.00      0.90      0.26      0.13     93.61
12:58:37 AM     all      5.68      0.00      1.77      0.00      0.13     92.42
12:58:38 AM     all      5.23      0.00      0.89      0.13      0.13     93.62
12:58:39 AM     all      5.35      0.00      1.40      0.13      0.00     93.12
12:58:40 AM     all      5.58      0.00      1.14      0.25      0.13     92.89
12:58:41 AM     all      5.32      0.00      1.52      0.38      0.13     92.65
12:58:42 AM     all      5.44      0.00      1.65      0.13      0.13     92.66
12:58:43 AM     all      4.85      0.00      1.28      0.13      0.13     93.62
12:58:44 AM     all      5.57      0.00      1.52      0.13      0.00     92.78
12:58:45 AM     all      5.48      0.00      1.02      0.13      0.13     93.25
12:58:46 AM     all      5.46      0.00      1.14      0.13      0.13     93.14
12:58:47 AM     all      4.49      0.00      1.41      0.26      0.13     93.72
12:58:48 AM     all      4.96      0.00      1.65      0.13      0.13     93.14
12:58:49 AM     all      5.59      0.00      1.14      0.13      0.00     93.14
12:58:50 AM     all      4.83      0.00      1.78      0.13      0.13     93.14
12:58:51 AM     all      5.47      0.00      1.02      0.13      0.13     93.26
12:58:52 AM     all      5.35      0.00      1.15      0.13      0.00     93.38
12:58:53 AM     all      5.44      0.00      1.52      0.13      0.13     92.78
12:58:54 AM     all      5.22      0.00      1.27      0.25      0.13     93.13
12:58:55 AM     all      5.47      0.00      1.02      0.25      0.13     93.13
12:58:56 AM     all      5.60      0.00      1.15      0.00      0.13     93.13
12:58:57 AM     all      5.22      0.00      1.40      0.25      0.00     93.13
12:58:58 AM     all      5.46      0.00      1.52      0.13      0.13     92.77
12:58:59 AM     all      3.18      0.00      1.02     12.09      0.13     83.59
12:59:00 AM     all      1.64      0.00      0.63     12.83      0.00     84.91
12:59:01 AM     all      0.88      0.00      0.25     13.10      0.13     85.64
12:59:02 AM     all      0.88      0.00      0.38     12.34      0.13     86.27
12:59:03 AM     all      1.25      0.00      0.50     12.67      0.13     85.45
12:59:04 AM     all      1.64      0.00      0.51     12.50      0.00     85.35
12:59:05 AM     all      0.88      0.00      0.25     12.99      0.13     85.75
12:59:06 AM     all      0.38      0.00      0.13     12.45      0.13     86.92
12:59:07 AM     all      0.63      0.00      0.25     13.55      0.00     85.57
12:59:08 AM     all      1.13      0.00      0.25     13.21      0.00     85.41
12:59:09 AM     all      0.13      0.00      0.00     12.64      0.13     87.11
12:59:10 AM     all      1.39      0.00      0.76     12.23      0.13     85.50
12:59:11 AM     all      0.50      0.00      0.38     12.41      0.00     86.72
12:59:12 AM     all      0.88      0.00      0.63     14.39      0.13     83.96
12:59:13 AM     all      0.88      0.00      0.13     24.12      0.00     74.87
12:59:14 AM     all      0.00      0.00      0.00     19.70      0.13     80.18
12:59:15 AM     all      0.00      0.00      0.00     12.30      0.00     87.70
12:59:16 AM     all      0.00      0.00      0.00     12.03      0.13     87.84
12:59:17 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
12:59:18 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
12:59:19 AM     all      0.50      0.00      0.13     14.86      0.00     84.51
12:59:20 AM     all      0.00      0.00      0.00     12.28      0.13     87.59
12:59:21 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:59:22 AM     all      0.00      0.00      0.00     12.17      0.13     87.70
12:59:23 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:59:24 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
12:59:25 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
12:59:26 AM     all      0.00      0.00      0.00     12.30      0.00     87.70
12:59:27 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
12:59:28 AM     all      0.63      0.00      0.13     13.69      0.00     85.55
12:59:29 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:59:30 AM     all      0.00      0.00      0.00     12.27      0.13     87.61
12:59:31 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
12:59:32 AM     all      3.03      0.00      1.14     10.48      0.13     85.23
12:59:33 AM     all      4.70      0.00      1.65      0.25      0.13     93.27
12:59:34 AM     all      5.35      0.00      1.27      0.13      0.00     93.25
12:59:35 AM     all      5.58      0.00      1.39      0.13      0.13     92.78
12:59:36 AM     all      5.46      0.00      1.27      0.25      0.13     92.88
12:59:37 AM     all      4.73      0.00      1.40      1.28      0.13     92.46
12:59:38 AM     all      5.19      0.00      1.52      0.25      0.13     92.91
12:59:39 AM     all      5.36      0.00      1.02      0.51      0.13     92.98
12:59:40 AM     all      5.46      0.00      1.40      0.38      0.00     92.77
12:59:41 AM     all      5.07      0.00      1.77      0.63      0.13     92.40
12:59:42 AM     all      5.69      0.00      1.14      2.53      0.13     90.52
12:59:43 AM     all      1.66      0.00      0.77     12.63      0.13     84.82
12:59:44 AM     all      5.09      0.00      1.53      0.25      0.13     93.00
12:59:45 AM     all      5.21      0.00      1.52      0.13      0.13     93.01
12:59:46 AM     all      4.37      0.00      1.29      0.26      0.00     94.09
12:59:47 AM     all      5.10      0.00      1.28      0.13      0.13     93.37
12:59:48 AM     all      5.10      0.00      1.15      0.13      0.13     93.50
12:59:49 AM     all      6.05      0.00      1.64      0.13      0.00     92.19
12:59:50 AM     all      5.06      0.00      1.77      0.13      0.13     92.91
12:59:51 AM     all      5.21      0.00      1.52      0.13      0.13     93.01
12:59:52 AM     all      5.34      0.00      1.14      0.13      0.13     93.27
12:59:53 AM     all      5.47      0.00      0.76      0.25      0.13     93.38
12:59:54 AM     all      4.62      0.00      1.16      0.00      0.13     94.09
12:59:55 AM     all      5.23      0.00      1.02      0.13      0.13     93.49
12:59:56 AM     all      4.85      0.00      1.66      0.13      0.00     93.37
12:59:57 AM     all      4.97      0.00      1.40      0.13      0.13     93.37
12:59:58 AM     all      4.71      0.00      1.78      0.13      0.13     93.26
12:59:59 AM     all      5.69      0.00      1.39      0.25      0.13     92.54
01:00:00 AM     all      5.20      0.00      1.39      0.13      0.13     93.16
