Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/31/2016 	_x86_64_	(8 CPU)

02:41:15 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:41:16 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
02:41:17 AM     all      0.00      0.00      0.00      1.25      0.00     98.75
02:41:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:24 AM     all      1.05      0.00      0.66      0.26      0.13     97.90
02:41:25 AM     all      1.17      0.00      0.78      0.52      0.39     97.14
02:41:26 AM     all      1.57      0.00      0.52      0.26      0.00     97.65
02:41:27 AM     all      1.30      0.00      0.91      0.26      0.26     97.26
02:41:28 AM     all      1.82      0.00      0.52      0.26      0.13     97.27
02:41:29 AM     all      1.56      0.00      0.78      0.26      0.39     97.01
02:41:30 AM     all      1.44      0.00      0.65      0.26      0.00     97.65
02:41:31 AM     all      1.56      0.00      0.91      0.26      0.26     97.01
02:41:32 AM     all      0.92      0.00      0.39      1.58      0.26     96.85
02:41:33 AM     all      1.57      0.00      0.66      0.13      0.26     97.38
02:41:34 AM     all      1.44      0.00      0.26      0.39      0.13     97.77
02:41:35 AM     all      1.56      0.00      0.78      0.26      0.13     97.27
02:41:36 AM     all      1.18      0.00      0.66      0.39      0.39     97.38
02:41:37 AM     all      1.82      0.00      1.04      0.26      0.13     96.76
02:41:38 AM     all      1.57      0.00      0.52      0.26      0.26     97.39
02:41:39 AM     all      1.56      0.00      0.91      0.52      0.13     96.88
02:41:40 AM     all      1.44      0.00      0.52      0.26      0.13     97.64
02:41:41 AM     all      1.95      0.00      0.91      0.26      0.26     96.62
02:41:42 AM     all      0.78      0.00      0.52      8.45      0.26     89.99
02:41:43 AM     all      0.13      0.00      0.13     12.09      0.13     87.53
02:41:44 AM     all      0.13      0.00      0.13     12.27      0.00     87.48
02:41:45 AM     all      0.25      0.00      0.00     12.72      0.13     86.90
02:41:46 AM     all      0.00      0.00      0.13     12.17      0.00     87.70
02:41:47 AM     all      0.00      0.00      0.00     12.41      0.00     87.59
02:41:48 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
02:41:49 AM     all      0.00      0.00      0.00     12.92      0.00     87.08
02:41:50 AM     all      0.00      0.00      0.00     12.16      0.13     87.72
02:41:51 AM     all      1.28      0.00      0.77      5.38      0.00     92.56
02:41:52 AM     all      1.83      0.00      0.78      0.39      0.13     96.87
02:41:53 AM     all      1.70      0.00      0.92      0.13      0.13     97.12
