Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/31/2016 	_x86_64_	(8 CPU)

03:15:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:15:55 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
03:15:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:15:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:15:58 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
03:15:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:16:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:16:01 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
03:16:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:16:03 AM     all      0.13      0.00      0.25      0.00      0.00     99.62
03:16:04 AM     all      0.39      0.00      0.26      0.39      0.13     98.82
03:16:05 AM     all      0.13      0.00      0.39      0.13      0.39     98.95
03:16:06 AM     all      0.13      0.00      0.26      0.26      0.13     99.21
03:16:07 AM     all      0.13      0.00      0.39      0.26      0.13     99.08
03:16:08 AM     all      0.13      0.00      0.26      0.39      0.13     99.08
03:16:09 AM     all      0.26      0.00      0.39      0.26      0.26     98.82
03:16:10 AM     all      0.13      0.00      0.39     11.73      0.26     87.48
03:16:11 AM     all      0.26      0.00      0.26      3.02      0.26     96.19
03:16:12 AM     all      0.26      0.00      0.13      0.26      0.26     99.07
03:16:13 AM     all      0.26      0.00      0.26      0.26      0.00     99.21
03:16:14 AM     all      0.13      0.00      0.26      0.39      0.26     98.95
03:16:15 AM     all      0.39      0.00      0.26      0.13      0.13     99.08
03:16:16 AM     all      0.39      0.00      0.26      0.52      0.39     98.43
03:16:17 AM     all      0.39      0.00      0.39      0.13      0.13     98.95
03:16:18 AM     all      0.26      0.00      0.26      0.26      0.13     99.07
03:16:19 AM     all      0.26      0.00      0.26      0.26      0.39     98.82
03:16:20 AM     all      0.53      0.00      0.39      0.39      0.26     98.42
03:16:21 AM     all      0.79      0.00      0.26      0.26      0.13     98.56
03:16:22 AM     all      0.39      0.00      0.53      0.26      0.26     98.55
03:16:23 AM     all      0.53      0.00      0.39      0.39      0.13     98.55
03:16:24 AM     all      0.52      0.00      0.39      0.26      0.39     98.43
03:16:25 AM     all      0.39      0.00      0.39      0.39      0.13     98.69
03:16:26 AM     all      0.13      0.00      0.13      0.26      0.13     99.34
03:16:27 AM     all      0.26      0.00      0.13      0.40      0.26     98.94
03:16:28 AM     all      0.39      0.00      0.39      0.26      0.26     98.69
03:16:29 AM     all      0.39      0.00      0.13      0.39      0.26     98.82
03:16:30 AM     all      0.26      0.00      0.26      0.13      0.13     99.21
03:16:31 AM     all      0.39      0.00      0.26      0.26      0.39     98.69
03:16:32 AM     all      0.13      0.00      0.52      0.39      0.13     98.82
03:16:33 AM     all      0.13      0.00      0.26      0.26      0.13     99.21
03:16:34 AM     all      0.26      0.00      0.39      0.26      0.26     98.82
03:16:35 AM     all      0.13      0.00      0.26      0.26      0.26     99.08
03:16:36 AM     all      0.26      0.00      0.39      0.26      0.26     98.82
