Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/31/2016 	_x86_64_	(8 CPU)

03:28:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:28:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:14 AM     all      0.00      0.00      0.00      0.12      0.00     99.88
03:28:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:21 AM     all      0.13      0.00      0.13      0.00      0.13     99.62
03:28:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:23 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:24 AM     all      0.13      0.00      0.00      0.13      0.00     99.74
03:28:25 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:26 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:28:27 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:28 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:28:29 AM     all      0.00      0.00      0.26      0.00      0.13     99.61
03:28:30 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:31 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:33 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:28:34 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:28:35 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:28:36 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:37 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:39 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:28:40 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:42 AM     all      0.00      0.00      0.13      0.00      0.13     99.74
03:28:43 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:44 AM     all      0.13      0.00      0.13      0.00      0.00     99.74
03:28:45 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:46 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:48 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:49 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:28:50 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:28:51 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:52 AM     all      0.13      0.00      0.13      0.00      0.13     99.61
03:28:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:28:54 AM     all      0.13      0.00      0.00      0.13      0.13     99.61
03:28:55 AM     all      0.00      0.00      0.13      0.00      0.13     99.74
03:28:56 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:28:57 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:28:58 AM     all      0.00      0.00      0.13      0.00      0.13     99.74
03:28:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:00 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:01 AM     all      0.13      0.00      0.13      0.00      0.13     99.61
03:29:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:03 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:04 AM     all      0.00      0.00      0.13      0.13      0.13     99.61
03:29:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:06 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:07 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:08 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:29:09 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:10 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:11 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:13 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:14 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:15 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:16 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:29:17 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:18 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:19 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:29:20 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:21 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:22 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:29:23 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:24 AM     all      0.13      0.00      0.13      0.00      0.13     99.61
03:29:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:26 AM     all      0.00      0.00      0.00      0.00      0.26     99.74
03:29:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:28 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:29 AM     all      0.13      0.00      0.13      0.00      0.13     99.61
03:29:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:31 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:32 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:33 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:29:34 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:35 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:37 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:38 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:40 AM     all      0.13      0.00      0.00      0.13      0.13     99.61
03:29:41 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:42 AM     all      0.00      0.00      0.00      0.13      0.13     99.74
03:29:43 AM     all      0.00      0.00      0.13      0.00      0.13     99.74
03:29:44 AM     all      0.13      0.00      0.13      0.00      0.13     99.61
03:29:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:46 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:47 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:48 AM     all      0.13      0.00      0.13      0.00      0.00     99.74
03:29:49 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:50 AM     all      0.13      0.00      0.13      0.00      0.13     99.61
03:29:51 AM     all      0.00      0.00      0.13      0.00      0.13     99.74
03:29:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:53 AM     all      0.13      0.00      0.13      0.00      0.13     99.61
03:29:54 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:29:55 AM     all      0.00      0.00      0.26      0.00      0.00     99.74
03:29:56 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:29:57 AM     all      0.00      0.00      0.13      0.00      0.13     99.74
03:29:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:29:59 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:00 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:30:01 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:30:02 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:03 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:04 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:30:05 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:30:06 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:07 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:08 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:09 AM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:30:10 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:30:11 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:30:13 AM     all      0.13      0.00      0.00      0.00      0.13     99.74
03:30:14 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:15 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:16 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:30:18 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:19 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:20 AM     all      0.13      0.00      0.00      0.13      0.00     99.74
03:30:21 AM     all      0.00      0.00      0.00      0.00      0.13     99.87
03:30:22 AM     all      0.00      0.00      0.13      0.00      0.13     99.74
