Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/30/2016 	_x86_64_	(8 CPU)

01:14:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:14:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:14:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:14:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:14:36 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
01:14:37 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
01:14:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:14:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:14:40 PM     all      0.12      0.00      0.12      0.00      0.00     99.75
01:14:41 PM     all      1.65      0.00      0.25      0.25      0.13     97.72
01:14:42 PM     all     11.70      0.00      0.77      0.77      0.26     86.50
01:14:43 PM     all     11.73      0.00      0.89      1.02      0.00     86.35
01:14:44 PM     all     12.06      0.00      0.89      1.02      0.13     85.91
01:14:45 PM     all     14.76      0.00      1.41      0.77      0.13     82.93
01:14:46 PM     all     18.18      0.00      1.79      1.02      0.13     78.87
01:14:47 PM     all     18.56      0.00      1.80      0.77      0.13     78.74
01:14:48 PM     all     12.20      0.00      0.76      1.02      0.13     85.90
01:14:49 PM     all     17.74      0.00      1.80      0.77      0.13     79.56
01:14:50 PM     all     17.53      0.00      1.42      0.77      0.00     80.28
01:14:51 PM     all     17.46      0.00      1.80      0.90      0.13     79.72
01:14:52 PM     all     17.40      0.00      2.06      0.90      0.00     79.64
01:14:53 PM     all     18.95      0.00      2.18      1.02      0.13     77.72
01:14:54 PM     all     11.91      0.00      0.90      0.90      0.13     86.17
01:14:55 PM     all     18.05      0.00      1.92      1.02      0.13     78.87
01:14:56 PM     all     19.26      0.00      1.53      1.02      0.00     78.19
01:14:57 PM     all     18.57      0.00      1.92      0.90      0.00     78.62
01:14:58 PM     all     17.43      0.00      1.65      0.89      0.00     80.03
01:14:59 PM     all     17.58      0.00      1.40      1.15      0.13     79.75
01:15:00 PM     all     11.80      0.00      0.76      1.02      0.13     86.29
01:15:01 PM     all     16.90      0.00      1.41      1.15      0.00     80.54
01:15:02 PM     all     17.05      0.00      1.78      2.93      0.13     78.12
01:15:03 PM     all     17.98      0.00      2.17      0.89      0.13     78.83
01:15:04 PM     all     19.26      0.00      1.79      1.02      0.00     77.93
01:15:05 PM     all     18.48      0.00      1.68      0.90      0.00     78.94
01:15:06 PM     all     12.13      0.00      0.77      0.89      0.26     85.95
01:15:07 PM     all     18.51      0.00      1.80      0.90      0.00     78.79
01:15:08 PM     all     17.18      0.00      1.41      0.90      0.13     80.38
01:15:09 PM     all     16.54      0.00      2.44      0.51      0.00     80.51
01:15:10 PM     all     17.97      0.00      2.18      0.64      0.13     79.08
01:15:11 PM     all     16.99      0.00      1.54      0.77      0.26     80.44
01:15:12 PM     all     13.96      0.00      0.77      1.02      0.00     84.25
01:15:13 PM     all     14.81      0.00      1.66      1.02      0.13     82.38
01:15:14 PM     all     17.35      0.00      1.67      0.90      0.13     79.95
01:15:15 PM     all     17.62      0.00      1.40      0.89      0.00     80.08
01:15:16 PM     all     17.77      0.00      1.40      0.89      0.13     79.82
01:15:17 PM     all     17.45      0.00      1.78      1.15      0.00     79.62
01:15:18 PM     all     17.37      0.00      1.66      0.89      0.00     80.08
01:15:19 PM     all      9.81      0.00      0.88      3.77      0.13     85.41
01:15:20 PM     all      9.39      0.00      1.02     12.94      0.00     76.65
01:15:21 PM     all      6.06      0.00      0.51     13.26      0.00     80.18
01:15:22 PM     all      4.03      0.00      0.50     13.33      0.13     82.01
01:15:23 PM     all      6.53      0.00      5.53     12.81      0.00     75.13
01:15:24 PM     all      3.40      0.00      0.13     12.47      0.00     84.01
01:15:25 PM     all      5.92      0.00      3.15     13.73      0.13     77.08
01:15:26 PM     all      5.93      0.00      2.40     14.00      0.00     77.68
01:15:27 PM     all      5.54      0.00      0.63     13.85      0.00     79.97
01:15:28 PM     all      5.67      0.00      0.63     13.62      0.00     80.08
01:15:29 PM     all      4.42      0.00      0.38     13.13      0.13     81.94
01:15:30 PM     all     16.60      0.00      1.15      2.94      0.13     79.18
01:15:31 PM     all     21.17      0.00      1.91      0.89      0.00     76.02
01:15:32 PM     all     22.84      0.00      2.79      0.76      0.13     73.48
01:15:33 PM     all      2.41      0.00      0.38     11.53      0.00     85.68
01:15:34 PM     all      0.00      0.00      0.13     12.05      0.13     87.70
01:15:35 PM     all      0.13      0.00      0.00     12.05      0.00     87.83
01:15:36 PM     all      0.00      0.00      0.00     12.08      0.00     87.92
01:15:37 PM     all      2.27      0.00      1.26     10.61      0.00     85.86
01:15:38 PM     all     11.66      0.00      0.76      0.76      0.13     86.69
01:15:39 PM     all     19.44      0.00      1.78      1.02      0.00     77.76
01:15:40 PM     all     14.41      0.00      1.15      0.77      0.13     83.55
01:15:41 PM     all     15.68      0.00      1.93      0.90      0.13     81.36
01:15:42 PM     all     17.27      0.00      1.68      0.90      0.13     80.03
01:15:43 PM     all     17.12      0.00      2.06      1.03      0.13     79.67
01:15:44 PM     all     17.46      0.00      1.80      0.90      0.13     79.72
01:15:45 PM     all     17.07      0.00      1.93      0.77      0.00     80.23
01:15:46 PM     all     15.98      0.00      1.79      0.77      0.13     81.33
01:15:47 PM     all     12.90      0.00      0.77      0.89      0.13     85.31
01:15:48 PM     all     18.04      0.00      1.55      1.03      0.00     79.38
01:15:49 PM     all     17.67      0.00      2.30      0.90      0.13     79.00
01:15:50 PM     all     18.01      0.00      1.40      0.89      0.13     79.57
01:15:51 PM     all     17.52      0.00      2.17      1.15      0.00     79.16
01:15:52 PM     all     18.28      0.00      1.42      0.90      0.13     79.28
01:15:53 PM     all     12.98      0.00      1.02      0.89      0.13     84.99
01:15:54 PM     all     16.11      0.00      2.05      0.90      0.13     80.82
01:15:55 PM     all     17.52      0.00      1.53      1.02      0.13     79.80
01:15:56 PM     all     18.02      0.00      1.42      0.90      0.00     79.67
01:15:57 PM     all     17.26      0.00      2.30      2.30      0.13     78.01
01:15:58 PM     all     18.36      0.00      0.90      0.64      0.13     79.97
01:15:59 PM     all     16.05      0.00      1.28      2.18      0.00     80.49
01:16:00 PM     all     14.29      0.00      1.28      0.89      0.13     83.42
01:16:01 PM     all     17.65      0.00      1.79      0.90      0.13     79.54
01:16:02 PM     all     17.82      0.00      1.67      2.18      0.00     78.33
01:16:03 PM     all     17.50      0.00      2.30      1.02      0.00     79.18
01:16:04 PM     all     17.22      0.00      1.77      0.89      0.00     80.13
01:16:05 PM     all     17.40      0.00      2.02      0.88      0.13     79.57
01:16:06 PM     all     11.93      0.00      1.26      1.01      0.00     85.80
01:16:07 PM     all     16.98      0.00      1.65      0.76      0.00     80.61
01:16:08 PM     all     18.16      0.00      1.13      1.01      0.13     79.57
01:16:09 PM     all     18.06      0.00      1.52      1.01      0.00     79.42
01:16:10 PM     all     17.70      0.00      1.64      0.76      0.00     79.90
01:16:11 PM     all     17.63      0.00      2.02      1.01      0.00     79.35
01:16:12 PM     all     15.49      0.00      1.39      1.26      0.13     81.74
01:16:13 PM     all      8.04      0.00      1.66     13.27      0.00     77.04
01:16:14 PM     all      5.84      0.00      3.94     12.71      0.13     77.38
01:16:15 PM     all      4.55      0.00      0.51     13.76      0.00     81.19
01:16:16 PM     all      7.38      0.00      0.25     13.49      0.00     78.88
01:16:17 PM     all      5.34      0.00      0.76     12.58      0.13     81.19
01:16:18 PM     all      6.80      0.00      5.16     12.85      0.13     75.06
01:16:19 PM     all      5.05      0.00      4.04     12.88      0.00     78.03
01:16:20 PM     all      3.77      0.00      0.50     12.56      0.00     83.17
01:16:21 PM     all      6.84      0.00      0.51     10.89      0.00     81.77
01:16:22 PM     all     12.08      0.00      1.38      0.75      0.13     85.66
01:16:23 PM     all      2.01      0.00      0.50      0.00      0.00     97.49
01:16:24 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
