Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/30/2016 	_x86_64_	(8 CPU)

01:29:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:29:45 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
01:29:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:29:47 PM     all      0.12      0.00      0.12      0.00      0.00     99.75
01:29:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:29:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:29:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:29:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:29:52 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
01:29:53 PM     all      5.38      0.00      0.77      0.38      0.26     93.21
01:29:54 PM     all      9.04      0.00      1.42      0.65      0.26     88.63
01:29:55 PM     all     10.22      0.00      1.55      0.91      0.26     87.06
01:29:56 PM     all     16.75      0.00      2.60      0.65      0.13     79.87
01:29:57 PM     all     12.29      0.00      1.68      6.21      0.26     79.56
01:29:58 PM     all      0.00      0.00      0.13     11.84      0.13     87.91
01:29:59 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
01:30:00 PM     all      0.00      0.00      0.00     12.06      0.00     87.94
01:30:01 PM     all      1.90      0.00      1.14      8.98      0.13     87.86
01:30:02 PM     all      5.69      0.00      0.65      0.65      0.13     92.88
01:30:03 PM     all      6.36      0.00      0.65      0.52      0.26     92.22
01:30:04 PM     all      5.60      0.00      0.91      0.78      0.26     92.45
01:30:05 PM     all      6.36      0.00      0.78      0.91      0.26     91.70
01:30:06 PM     all      8.59      0.00      1.43      0.78      0.13     89.06
01:30:07 PM     all      9.33      0.00      1.84      0.66      0.26     87.91
01:30:08 PM     all     10.70      0.00      1.17      0.65      0.13     87.34
01:30:09 PM     all      9.74      0.00      2.21      0.65      0.39     87.01
01:30:10 PM     all     11.28      0.00      1.43      0.91      0.13     86.25
01:30:11 PM     all      8.90      0.00      0.92      0.79      0.26     89.14
01:30:12 PM     all      6.75      0.00      1.17      0.65      0.13     91.30
01:30:13 PM     all     10.36      0.00      1.04      0.65      0.39     87.56
01:30:14 PM     all      9.92      0.00      1.55      0.90      0.00     87.63
01:30:15 PM     all      9.51      0.00      2.06      0.90      0.39     87.15
01:30:16 PM     all     11.00      0.00      1.16      0.52      0.26     87.06
01:30:17 PM     all     11.80      0.00      1.04      0.65      0.13     86.38
01:30:18 PM     all     10.46      0.00      1.44      0.52      0.26     87.32
01:30:19 PM     all     11.24      0.00      1.31      0.65      0.13     86.67
01:30:20 PM     all      9.33      0.00      1.05      0.66      0.39     88.57
01:30:21 PM     all      6.57      0.00      1.05      0.53      0.13     91.72
01:30:22 PM     all     10.94      0.00      1.32      0.66      0.26     86.82
01:30:23 PM     all     10.15      0.00      1.16      0.64      0.13     87.92
01:30:24 PM     all      9.87      0.00      1.15      0.77      0.26     87.95
01:30:25 PM     all      8.90      0.00      1.55      0.90      0.13     88.52
01:30:26 PM     all      9.71      0.00      1.15      3.83      0.13     85.19
01:30:27 PM     all      5.60      0.00      3.05     12.47      0.00     78.88
01:30:28 PM     all      2.91      0.00      0.76     12.14      0.00     84.20
01:30:29 PM     all      2.26      0.00      5.52     12.92      0.13     79.17
01:30:30 PM     all      1.01      0.00      0.25     12.97      0.00     85.77
01:30:31 PM     all      2.54      0.00      0.51     12.94      0.13     83.88
01:30:32 PM     all      3.17      0.00      0.25     13.20      0.13     83.25
01:30:33 PM     all      7.11      0.00      1.52      8.63      0.13     82.61
01:30:34 PM     all     10.47      0.00      1.16      0.26      0.00     88.11
01:30:35 PM     all      7.11      0.00      1.02      0.51      0.13     91.24
01:30:36 PM     all      9.77      0.00      1.16      0.51      0.13     88.43
01:30:37 PM     all     10.13      0.00      1.56      0.65      0.26     87.40
01:30:38 PM     all     10.52      0.00      1.82      0.91      0.13     86.62
01:30:39 PM     all     10.82      0.00      1.30      0.52      0.39     86.96
01:30:40 PM     all     10.79      0.00      1.56      0.91      0.13     86.61
01:30:41 PM     all     10.79      0.00      1.82      0.65      0.13     86.61
01:30:42 PM     all     11.10      0.00      1.55      0.90      0.26     86.19
01:30:43 PM     all      9.29      0.00      1.42      1.03      0.26     88.00
01:30:44 PM     all      7.10      0.00      1.29      0.77      0.13     90.71
01:30:45 PM     all      9.77      0.00      1.43      0.78      0.26     87.76
01:30:46 PM     all      9.70      0.00      2.07      0.65      0.26     87.32
01:30:47 PM     all     11.71      0.00      1.67      0.77      0.13     85.71
01:30:48 PM     all      9.29      0.00      1.55      0.77      0.26     88.13
01:30:49 PM     all     10.31      0.00      1.29      0.90      0.13     87.37
01:30:50 PM     all      8.85      0.00      1.82      0.52      0.13     88.67
01:30:51 PM     all      9.96      0.00      1.55      0.78      0.26     87.45
01:30:52 PM     all      9.47      0.00      1.04      0.78      0.13     88.59
01:30:53 PM     all      7.22      0.00      0.90      0.64      0.26     90.98
01:30:54 PM     all      8.66      0.00      1.94      0.78      0.13     88.50
01:30:55 PM     all      9.43      0.00      1.55      0.78      0.26     87.98
01:30:56 PM     all     10.00      0.00      1.41      0.64      0.13     87.82
01:30:57 PM     all      9.71      0.00      1.40      0.89      0.26     87.74
01:30:58 PM     all     10.18      0.00      1.65      0.89      0.13     87.15
01:30:59 PM     all      9.52      0.00      1.03      0.90      0.13     88.42
01:31:00 PM     all      9.73      0.00      1.28      0.64      0.13     88.22
01:31:01 PM     all     11.48      0.00      1.79      0.89      0.13     85.71
01:31:02 PM     all     16.14      0.00      3.68      1.02      0.13     79.03
01:31:03 PM     all      2.80      0.00      0.51     11.18      0.13     85.39
01:31:04 PM     all      0.00      0.00      0.00     12.06      0.13     87.81
01:31:05 PM     all      0.00      0.00      0.00     12.06      0.00     87.94
01:31:06 PM     all      0.13      0.00      0.00     12.19      0.00     87.69
01:31:07 PM     all      0.00      0.00      0.00     12.08      0.00     87.92
01:31:08 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
01:31:09 PM     all      0.00      0.00      0.00     12.06      0.00     87.94
01:31:10 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
01:31:11 PM     all      1.77      0.00      1.01      9.76      0.13     87.33
01:31:12 PM     all      6.91      0.00      1.28      0.51      0.00     91.30
01:31:13 PM     all      6.61      0.00      0.52      0.39      0.26     92.23
01:31:14 PM     all      6.31      0.00      1.03      0.52      0.13     92.01
01:31:15 PM     all      6.97      0.00      0.39      0.65      0.13     91.87
01:31:16 PM     all      9.04      0.00      1.16      0.78      0.13     88.89
01:31:17 PM     all     10.12      0.00      1.82      0.78      0.13     87.16
01:31:18 PM     all      9.43      0.00      2.20      0.65      0.26     87.47
01:31:19 PM     all     11.40      0.00      1.81      0.65      0.13     86.01
01:31:20 PM     all     10.74      0.00      1.03      0.78      0.13     87.32
01:31:21 PM     all     10.82      0.00      1.42      0.64      0.26     86.86
01:31:22 PM     all      9.25      0.00      1.03      0.64      0.13     88.95
01:31:23 PM     all      7.95      0.00      1.54      0.77      0.13     89.62
01:31:24 PM     all     10.52      0.00      1.04      0.52      0.00     87.92
01:31:25 PM     all      9.92      0.00      1.80      0.52      0.13     87.63
01:31:26 PM     all      9.70      0.00      1.68      0.65      0.13     87.84
01:31:27 PM     all      9.13      0.00      1.30      0.78      0.26     88.53
01:31:28 PM     all     11.15      0.00      1.43      0.52      0.13     86.77
01:31:29 PM     all     10.19      0.00      1.55      0.52      0.13     87.61
01:31:30 PM     all      9.72      0.00      1.42      0.65      0.13     88.08
01:31:31 PM     all     10.28      0.00      1.29      0.77      0.13     87.53
01:31:32 PM     all      9.52      0.00      0.90      0.77      0.13     88.67
01:31:33 PM     all      8.10      0.00      1.41      0.77      0.13     89.59
01:31:34 PM     all     10.09      0.00      1.94      0.52      0.26     87.19
01:31:35 PM     all     11.35      0.00      1.42      0.90      0.00     86.32
01:31:36 PM     all     10.22      0.00      2.20      0.52      0.26     86.80
01:31:37 PM     all     10.21      0.00      1.42      0.78      0.00     87.60
01:31:38 PM     all     10.22      0.00      1.28      0.64      0.26     87.61
01:31:39 PM     all     11.10      0.00      1.29      0.26      0.13     87.23
01:31:40 PM     all      9.90      0.00      1.56      0.65      0.13     87.76
01:31:41 PM     all     11.33      0.00      1.93      0.64      0.26     85.84
01:31:42 PM     all      6.72      0.00      0.90      0.65      0.13     91.60
01:31:43 PM     all     10.32      0.00      1.42      0.39      0.13     87.74
01:31:44 PM     all     10.97      0.00      1.03      0.52      0.13     87.35
01:31:45 PM     all     10.93      0.00      1.03      0.90      0.26     86.89
01:31:46 PM     all     10.84      0.00      0.89      3.44      0.26     84.57
01:31:47 PM     all      5.34      0.00      0.64     12.71      0.13     81.19
01:31:48 PM     all      2.41      0.00      4.70     12.69      0.00     80.20
01:31:49 PM     all      1.02      0.00      5.21     12.96      0.00     80.81
01:31:50 PM     all      3.18      0.00      0.25     12.58      0.13     83.86
01:31:51 PM     all      1.91      0.00      0.64     13.14      0.13     84.18
01:31:52 PM     all      2.92      0.00      0.51     12.96      0.13     83.48
01:31:53 PM     all      2.41      0.00      0.25     12.78      0.00     84.56
01:31:54 PM     all      4.72      0.00      0.51      7.14      0.13     87.50
01:31:55 PM     all     10.70      0.00      1.42      0.90      0.13     86.86
01:31:56 PM     all      9.99      0.00      1.95      1.04      0.26     86.77
01:31:57 PM     all     10.56      0.00      1.83      0.78      0.26     86.57
01:31:58 PM     all      7.86      0.00      1.42      0.77      0.26     89.69
01:31:59 PM     all      9.34      0.00      0.77      0.77      0.13     89.00
01:32:00 PM     all      9.83      0.00      1.16      0.91      0.26     87.84
01:32:01 PM     all      9.55      0.00      1.42      0.77      0.13     88.13
