Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/30/2016 	_x86_64_	(8 CPU)

02:01:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:01:51 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
02:01:52 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
02:01:53 PM     all      0.64      0.00      0.51      0.13      0.13     98.59
02:01:54 PM     all      1.97      0.00      0.66      0.92      0.26     96.19
02:01:55 PM     all      2.35      0.00      0.78      0.78      0.26     95.82
02:01:56 PM     all      2.23      0.00      1.05      0.79      0.26     95.68
02:01:57 PM     all      2.35      0.00      1.43      0.91      0.26     95.05
02:01:58 PM     all      2.74      0.00      1.04      0.78      0.26     95.18
02:01:59 PM     all      1.97      0.00      1.31      0.79      0.26     95.67
02:02:00 PM     all      1.83      0.00      1.31      0.91      0.26     95.69
02:02:01 PM     all      2.48      0.00      0.78      0.91      0.26     95.56
02:02:02 PM     all      3.12      0.00      1.17      0.65      0.26     94.81
02:02:03 PM     all      2.74      0.00      0.91      0.91      0.26     95.17
02:02:04 PM     all      3.01      0.00      0.78      0.78      0.13     95.29
02:02:05 PM     all      2.36      0.00      0.79      0.92      0.39     95.54
02:02:06 PM     all      5.03      0.00      0.53      0.66      0.26     93.52
02:02:07 PM     all      4.72      0.00      1.18      0.92      0.26     92.92
02:02:08 PM     all      4.18      0.00      1.44      0.78      0.26     93.34
02:02:09 PM     all      4.07      0.00      1.18      0.79      0.26     93.69
02:02:10 PM     all      4.05      0.00      1.31      0.92      0.26     93.46
02:02:11 PM     all      5.51      0.00      1.18      0.66      0.39     92.26
02:02:12 PM     all      5.77      0.00      0.92      0.66      0.26     92.39
02:02:13 PM     all      5.28      0.00      1.06      0.66      0.26     92.73
02:02:14 PM     all      6.02      0.00      0.65      0.52      0.26     92.54
02:02:15 PM     all      5.77      0.00      0.79      0.39      0.26     92.79
02:02:16 PM     all      5.01      0.00      1.05      0.53      0.40     93.02
02:02:17 PM     all      5.50      0.00      0.79      0.79      0.39     92.53
02:02:18 PM     all      5.79      0.00      0.92      0.92      0.26     92.11
02:02:19 PM     all      3.84      0.00      1.06      0.53      0.26     94.30
02:02:20 PM     all      5.35      0.00      0.78      0.65      0.26     92.95
02:02:21 PM     all      4.19      0.00      1.83      0.52      0.13     93.32
02:02:22 PM     all      4.72      0.00      0.79      0.39      0.39     93.71
02:02:23 PM     all      4.56      0.00      1.17      0.78      0.13     93.36
02:02:24 PM     all      4.92      0.00      1.29      0.78      0.26     92.76
02:02:25 PM     all      3.66      0.00      1.31      0.65      0.26     94.13
02:02:26 PM     all      4.77      0.00      1.16      0.90      0.13     93.03
02:02:27 PM     all      6.56      0.00      1.80      0.77      0.26     90.60
02:02:28 PM     all     13.32      0.00      2.85      1.03      0.13     82.66
02:02:29 PM     all      0.63      0.00      0.00     11.77      0.13     87.47
02:02:30 PM     all      0.00      0.00      0.13     12.05      0.00     87.83
02:02:31 PM     all      0.00      0.00      0.00     12.16      0.13     87.72
02:02:32 PM     all      0.13      0.00      0.13     11.96      0.00     87.78
02:02:33 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
02:02:34 PM     all      0.00      0.00      0.00     11.82      0.13     88.05
02:02:35 PM     all      0.76      0.00      0.38      9.78      0.00     89.07
02:02:36 PM     all      3.13      0.00      0.78      0.65      0.39     95.05
02:02:37 PM     all      2.23      0.00      0.92      0.92      0.13     95.80
02:02:38 PM     all      2.75      0.00      0.92      0.79      0.26     95.29
02:02:39 PM     all      2.37      0.00      0.66      0.79      0.26     95.92
02:02:40 PM     all      2.09      0.00      1.30      0.78      0.39     95.44
02:02:41 PM     all      2.86      0.00      0.78      0.78      0.26     95.32
02:02:42 PM     all      2.60      0.00      1.04      0.78      0.26     95.32
02:02:43 PM     all      2.62      0.00      0.65      0.92      0.13     95.68
02:02:44 PM     all      2.36      0.00      0.79      0.66      0.26     95.94
02:02:45 PM     all      2.86      0.00      1.04      0.65      0.26     95.18
02:02:46 PM     all      3.66      0.00      1.04      0.78      0.26     94.26
02:02:47 PM     all      4.56      0.00      1.56      0.78      0.26     92.83
02:02:48 PM     all      4.19      0.00      1.44      0.92      0.26     93.18
02:02:49 PM     all      4.22      0.00      1.19      0.79      0.26     93.54
02:02:50 PM     all      4.34      0.00      1.18      0.79      0.26     93.43
02:02:51 PM     all      4.07      0.00      0.92      0.79      0.39     93.82
02:02:52 PM     all      4.33      0.00      1.18      0.66      0.26     93.58
02:02:53 PM     all      4.18      0.00      1.70      0.78      0.26     93.07
02:02:54 PM     all      4.74      0.00      0.92      0.92      0.13     93.29
02:02:55 PM     all      4.87      0.00      1.18      0.53      0.39     93.03
02:02:56 PM     all      4.55      0.00      1.69      0.91      0.39     92.47
02:02:57 PM     all      4.22      0.00      1.58      0.79      0.13     93.28
02:02:58 PM     all      5.51      0.00      0.92      0.79      0.39     92.39
02:02:59 PM     all      4.87      0.00      0.53      0.79      0.26     93.54
02:03:00 PM     all      3.42      0.00      0.66      0.39      0.26     95.27
02:03:01 PM     all      4.64      0.00      0.80      0.93      0.13     93.50
02:03:02 PM     all      5.39      0.00      0.53      0.53      0.39     93.16
02:03:03 PM     all      5.16      0.00      0.53      0.66      0.13     93.52
