Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/30/2016 	_x86_64_	(8 CPU)

05:51:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:51:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:04 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
05:52:05 PM     all      0.26      0.00      0.40      0.26      0.26     98.81
05:52:06 PM     all      0.79      0.00      0.40      0.53      0.26     98.02
05:52:07 PM     all      0.53      0.00      0.53      0.92      0.40     97.62
05:52:08 PM     all      0.66      0.00      0.79      0.93      0.13     97.48
05:52:09 PM     all      0.53      0.00      0.53      0.93      0.53     97.48
05:52:10 PM     all      0.79      0.00      1.06      0.66      0.13     97.35
05:52:11 PM     all      0.26      0.00      0.66      1.06      0.26     97.75
05:52:12 PM     all      6.37      0.00      1.59      0.93      0.40     90.70
05:52:13 PM     all      1.41      0.00      7.06      8.99      0.26     82.28
05:52:14 PM     all      0.66      0.00      0.66      0.66      0.27     97.74
05:52:15 PM     all      0.66      0.00      0.93      0.53      0.26     97.62
05:52:16 PM     all      0.66      0.00      0.66      0.80      0.27     97.61
05:52:17 PM     all      0.80      0.00      0.66      0.93      0.40     97.21
05:52:18 PM     all      1.06      0.00      0.53      0.93      0.27     97.21
05:52:19 PM     all      0.27      0.00      0.67      0.93      0.27     97.87
05:52:20 PM     all      0.53      0.00      0.79      0.79      0.40     97.49
05:52:21 PM     all      0.79      0.00      0.40      0.93      0.26     97.62
05:52:22 PM     all      0.79      0.00      0.40      0.93      0.26     97.62
05:52:23 PM     all      0.26      0.00      0.79      0.93      0.26     97.75
05:52:24 PM     all      0.13      0.00      0.66      0.93      0.40     97.88
05:52:25 PM     all      0.40      0.00      0.66      0.80      0.27     97.88
05:52:26 PM     all      0.79      0.00      0.79      1.06      0.26     97.09
05:52:27 PM     all      0.53      0.00      0.66      0.93      0.26     97.62
05:52:28 PM     all      0.79      0.00      1.05      0.66      0.39     97.11
05:52:29 PM     all      0.53      0.00      0.40      0.93      0.27     97.88
05:52:30 PM     all      0.66      0.00      0.27      0.93      0.40     97.75
05:52:31 PM     all      0.66      0.00      0.79      0.92      0.26     97.36
05:52:32 PM     all      0.40      0.00      0.79      0.79      0.26     97.75
05:52:33 PM     all      0.66      0.00      0.27      0.80      0.27     98.01
05:52:34 PM     all      0.79      0.00      0.53      0.66      0.26     97.75
05:52:35 PM     all      1.05      0.00      0.66      0.92      0.26     97.11
05:52:36 PM     all      0.92      0.00      0.53      0.92      0.40     97.23
05:52:37 PM     all      0.66      0.00      0.40      0.93      0.27     97.75
05:52:38 PM     all      0.40      0.00      0.66      0.93      0.26     97.75
05:52:39 PM     all      0.40      0.00      0.66      0.80      0.27     97.88
05:52:40 PM     all      0.66      0.00      0.66      0.93      0.26     97.49
05:52:41 PM     all      0.66      0.00      0.40      0.79      0.26     97.88
05:52:42 PM     all      0.66      0.00      0.66      0.92      0.26     97.49
05:52:43 PM     all      0.26      0.00      0.53      0.93      0.40     97.88
05:52:44 PM     all      0.66      0.00      0.53      0.79      0.26     97.75
05:52:45 PM     all      0.26      0.00      0.53      0.93      0.40     97.88
05:52:46 PM     all      0.79      0.00      0.26      0.79      0.13     98.02
05:52:47 PM     all      0.39      0.00      1.05      0.92      0.53     97.11
05:52:48 PM     all      0.79      0.00      1.05      0.92      0.13     97.10
05:52:49 PM     all      0.93      0.00      0.53      0.93      0.40     97.21
05:52:50 PM     all      1.31      0.00      1.31      0.79      0.26     96.33
05:52:51 PM     all      0.92      0.00      0.79      0.79      0.26     97.23
05:52:52 PM     all      1.19      0.00      0.79      0.93      0.26     96.83
05:52:53 PM     all      1.31      0.00      1.05      0.92      0.39     96.34
05:52:54 PM     all      1.06      0.00      0.79      0.93      0.40     96.82
05:52:55 PM     all      1.33      0.00      0.80      0.80      0.27     96.82
05:52:56 PM     all      1.85      0.00      0.66      0.66      0.26     96.56
05:52:57 PM     all      0.92      0.00      0.53      0.92      0.26     97.36
05:52:58 PM     all      1.72      0.00      0.66      0.92      0.26     96.43
05:52:59 PM     all      1.05      0.00      1.32      0.92      0.39     96.32
05:53:00 PM     all      1.45      0.00      0.92      0.92      0.26     96.45
05:53:01 PM     all      0.53      0.00      1.32      0.79      0.26     97.09
05:53:02 PM     all      1.32      0.00      0.79      0.79      0.26     96.83
05:53:03 PM     all      1.06      0.00      0.79      0.93      0.40     96.83
05:53:04 PM     all      1.18      0.00      0.66      0.92      0.13     97.11
05:53:05 PM     all      1.05      0.00      0.79      0.79      0.39     96.98
05:53:06 PM     all      1.06      0.00      0.66      0.79      0.26     97.23
05:53:07 PM     all      1.19      0.00      0.66      0.79      0.26     97.10
05:53:08 PM     all      1.32      0.00      0.66      0.92      0.13     96.97
05:53:09 PM     all      1.05      0.00      0.79      0.92      0.39     96.84
05:53:10 PM     all      1.45      0.00      0.79      0.79      0.26     96.71
05:53:11 PM     all      1.05      0.00      0.66      0.92      0.26     97.10
05:53:12 PM     all      1.05      0.00      1.18      0.92      0.13     96.72
05:53:13 PM     all      3.90      0.00      1.69      0.78      0.26     93.37
05:53:14 PM     all     11.43      0.00      2.99      0.26      0.00     85.32
05:53:15 PM     all      2.93      0.00      8.66      9.81      0.13     78.47
05:53:16 PM     all      1.26      0.00     11.31     12.19      0.13     75.13
05:53:17 PM     all      1.13      0.00     11.43     12.31      0.00     75.13
05:53:18 PM     all      1.38      0.00     11.18     12.06      0.00     75.38
05:53:19 PM     all      1.39      0.00     10.83     12.47      0.00     75.31
05:53:20 PM     all      0.78      0.00      0.92      1.31      0.39     96.60
05:53:21 PM     all      0.26      0.00      0.53      0.79      0.26     98.15
05:53:22 PM     all      0.66      0.00      0.66      0.92      0.26     97.51
