Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/30/2016 	_x86_64_	(8 CPU)

06:46:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:46:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:46:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:46:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:46:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:46:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:46:58 PM     all      0.00      0.00      0.00      0.12      0.00     99.88
06:46:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:00 PM     all      0.00      0.00      0.00      0.00      0.12     99.88
06:47:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:04 PM     all      0.13      0.00      0.00      0.00      0.13     99.74
06:47:05 PM     all      0.13      0.00      0.13      0.00      0.26     99.49
06:47:06 PM     all      0.13      0.00      0.00      0.00      0.13     99.74
06:47:07 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
06:47:08 PM     all      0.00      0.00      0.00      0.00      0.13     99.87
06:47:09 PM     all      0.13      0.00      0.00      0.00      0.26     99.61
06:47:10 PM     all      0.00      0.00      0.13      0.00      0.13     99.74
06:47:11 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
06:47:12 PM     all      0.26      0.00      0.13      0.13      0.13     99.36
06:47:13 PM     all      0.13      0.00      0.00      0.00      0.26     99.61
06:47:14 PM     all      0.00      0.00      0.00      0.00      0.13     99.87
06:47:15 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
06:47:16 PM     all      0.00      0.00      0.00      0.00      0.13     99.87
06:47:17 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
06:47:18 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
06:47:19 PM     all      0.00      0.00      0.13      0.00      0.13     99.74
06:47:20 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
06:47:21 PM     all      0.13      0.00      0.13      0.00      0.26     99.48
06:47:22 PM     all      0.00      0.00      0.00      0.00      0.26     99.74
06:47:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:24 PM     all      0.00      0.00      0.13      0.00      0.26     99.61
06:47:25 PM     all      0.13      0.00      0.00      0.00      0.26     99.61
